"チケット","60","meg_nakagami","参加","多分行ける","2012-06-26 22:56","不明"
"チケット","61","ousttrue","参加","よろしくお願いします。","2012-06-27 16:58","不明"
"チケット","62","genchoku11","参加","こういう会に出席するのは久しぶりです。よろしくお願いします。","2012-06-28 10:33","不明"
"チケット","63","kawa0810","参加(仮)","よろしくお願いします。","2012-06-30 21:57","不明"
"チケット","64","masayukif9","参加","よろしくお願いします。","2012-07-01 00:06","不明"
"チケット","65","5mingame2","参加","よろしくお願いします！","2012-07-01 00:12","不明"
"チケット","66","TANILI1","参加","こっそり参加
よろしくお願いします。","2012-07-03 17:03","不明"
"チケット","67","AW20V6MT","参加","よろしくお願いします。","2012-07-05 23:02","不明"
"チケット","68","thimura","参加","よろしくお願いします。","2012-07-09 00:59","不明"
"チケット","69","shigehiroyanbe","参加","よろしくお願いします。午後から用事がありますので途中で抜けます。","2012-07-12 14:14","不明"
"チケット","70","yamasa","参加","よろしくお願いします。","2012-07-14 14:14","不明"
"チケット","71","melponn","参加","坊っちゃんサンダルで行きます","2012-07-17 11:51","不明"
"チケット","72","yhamigaki","参加","DQXβ終わったので参加","2012-07-20 07:57","不明"
"チケット","73","ktns87","参加","Boostは便利そうだとは思いつつ使いどころがよくわからなくて使ってませんでした。よろしくお願いします。","2012-07-23 20:16","不明"
"チケット","74","Cryolite","参加","ヾ(^q^)ﾉ""","2012-07-24 16:19","不明"
"チケット","75","hira_kuni_45","参加","夕方から別件があるので、途中で抜けさせてもらいますが、よろしくお願いします。","2012-07-25 18:10","不明"
"チケット","76","BluePhoenixLab","参加","初です。よろしくお願いします。
最後のディスカッションが一身上の都合により参加できないかもしれません。。
","2012-07-27 12:54","不明"
